Name,Brand,Price,Image URL,Product URL,Star Rating,Number of Reviews
'Ab'Solution High Waist Itty Bitty Bootcut Jeans,Wit & Wisdom,$88.00,https://n.nordstrommedia.com/id/sr3/976c9b0a-9c88-4946-af65-df3b360423f2.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/7829577?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=420,3.5 out of 5 stars,(11)
Halo Essential Wide Leg Sweatpants,Vuori,$108.00,https://n.nordstrommedia.com/id/sr3/369b3687-2bc2-4bd5-85dc-28ed6ac652e2.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/vuori-halo-essential-wide-leg-sweatpants/7218920?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=002,4.3 out of 5 stars,(55)
Romeo Distressed Straight Leg Jeans,R13,$565.00,https://n.nordstrommedia.com/id/sr3/59633f08-d988-43c3-ac4b-7e92df400066.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/7887649?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=420,No rating,No reviews
Drawstring Crop Pants,Caslon®,$69.50,https://n.nordstrommedia.com/id/sr3/2bfc7878-6c6a-4df5-a630-44d78b2233c8.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/drawstring-crop-pants/7105275?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=401,4.5 out of 5 stars,(23)
Short Sleeve Cotton Blend Sweatshirt,Treasure & Bond,$49.50,https://n.nordstrommedia.com/id/sr3/cd064d41-a740-48fa-8146-a27a107c646a.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/short-sleeve-cotton-blend-sweatshirt/7714378?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=930,4.6 out of 5 stars,(11)
Miramar Linen & Organic Cotton Polo Sweater,Faherty,$168.00,https://n.nordstrommedia.com/id/sr3/49cd1a84-96a6-4356-b835-0578f264352c.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/miramar-linen-organic-cotton-polo-sweater/7414787?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=900,4.3 out of 5 stars,(7)
High Waist Superwide Leg Jeans,Madewell,$128.00,https://n.nordstrommedia.com/id/sr3/0a56e5c9-0958-4cd9-b925-76d37a813d64.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/7801921?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=400,4.5 out of 5 stars,(2)
Plaid Polar Fleece Shacket,Thread & Supply,$49.00,https://n.nordstrommedia.com/id/sr3/39eb3344-2688-4393-9521-c865ae695a71.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/6554705?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=068,4.6 out of 5 stars,(484)
Variegated Corduroy Button-Up Shirt,Madewell,$88.00,https://n.nordstrommedia.com/id/sr3/7bfca1bb-d6bd-4f6c-926f-bba44817c0cb.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/7523156?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=333,4 out of 5 stars,(10)
Matilda Camisole,Free People,$78.00,https://n.nordstrommedia.com/id/sr3/6461bf68-71c7-4986-bf7d-c655cdef2af8.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/matilda-camisole/7893210?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,No rating,No reviews
Double Faced Stretch Cotton Ankle Pants,Lauren Ralph Lauren,$145.00,https://n.nordstrommedia.com/id/sr3/15593399-1e33-4844-be20-127bdd86456c.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/7829390?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=270,4.5 out of 5 stars,(13)
Nadine Deep V-Neck Sleeveless Top,WAYF,$55.00,https://n.nordstrommedia.com/id/sr3/ad91071a-5a84-4630-982c-684fe5cbb2ed.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/nadine-deep-v-neck-sleeveless-top/7845025?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=803,4.8 out of 5 stars,(4)
Ayers Crop Sweater & Wide Leg Pants Set,Petal & Pup,$79.00,https://n.nordstrommedia.com/id/sr3/f1f9be12-4323-41ee-b6e1-164400bcdc3f.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/ayers-crop-sweater-wide-leg-pants-set/7754116?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.3 out of 5 stars,(71)
Tailored Long Vest,Open Edit,$75.00,https://n.nordstrommedia.com/id/sr3/ba262605-6421-4a0d-a70d-ea6365b4255b.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/tailored-long-vest/7748417?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,4.7 out of 5 stars,(7)
Essential Compression T-Shirt,Halogen®,$35.00,https://n.nordstrommedia.com/id/sr3/3f79caba-28c7-41f7-a081-9125fdb3b513.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/essential-compression-t-shirt/7276046?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=101,4.1 out of 5 stars,(61)
Natlaly Sleeveless Organic Cotton Knit Minidress,Reformation,$148.00,https://n.nordstrommedia.com/id/sr3/88b9d737-d984-4bdb-a527-c52976816537.jpeg?h=365&w=240&dpr=2,https://www.nordstrom.com/s/natlaly-sleeveless-organic-cotton-knit-minidress/7563473?origin=category-personalizedsort&breadcrumb=Home%2FWomen%2FClothing&color=001,3.6 out of 5 stars,(14)
